run_id,seed,config_hash,algorithm,iteration,mg,phase,episode_reward,discounted_return,cg_cost,ba_cost,imbalance_cost,abs_deficit,environment_steps,actor_loss,kl,actor_updates,trpo_accepted,actor_grad_norm,critic_loss,critic_grad_norm,critic_updates,actor_delta,critic_delta
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,1,1,1,-50260.50459059377,-43979.08828787272,17861.18856983824,16187.196777099325,66472.62383424999,5403.206196007728,24,0.09124147891998291,3.3640633319009794e-06,1,0,1.1419912576675415,4073299.25,11205237.0,4,0.00682404637336731,0.27016058564186096
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,1,2,1,-33821.81813996627,-30027.896105267202,29129.593136879663,21814.57380435792,16699.469338694966,1370.6147096213558,24,-0.08425291627645493,1.1822849046438932e-06,1,0,0.5560494661331177,1624422.5,6276168.0,4,0.006822316441684961,0.2696302533149719
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,1,3,1,-26796.436836257217,-23678.010579908834,21643.59152211251,16709.36978442331,15239.912365978613,1247.5863601212154,24,0.130632683634758,2.1334610664780485e-06,1,0,1.3395750522613525,871873.6875,4766583.5,4,0.006821787916123867,0.266888827085495
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,2,1,1,-54768.90827839486,-48082.75491520313,14196.04330305801,22792.67542495421,72549.09782877749,5926.387544828277,48,-0.031255658715963364,6.982421041357156e-07,1,0,0.569190263748169,4732549.5,12315119.0,4,0.004452855791896582,0.2637166678905487
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,2,2,1,-34563.276088952676,-30581.21331805852,33066.16741452075,18066.84576644381,17993.538996940784,1394.216389442398,48,-0.11803551763296127,1.8421560525894165e-06,1,0,0.657524049282074,1651593.625,6563063.5,4,0.005963711999356747,0.2587840259075165
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,2,3,1,-27562.37878451464,-24464.870777935157,19393.179085387223,17195.15490259984,18536.42358104222,1577.8924265304777,48,-0.02573815919458866,1.7312535192104406e-06,1,0,0.9540088772773743,866440.5,4926279.0,4,0.004928787238895893,0.2623719274997711
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,3,1,1,-52363.67784069369,-45898.291267100074,15174.51054139584,18659.558736095467,70893.28640389607,5788.436199963977,72,0.8298845887184143,8.108497127068404e-07,1,0,2.18916392326355,4274446.0,12213091.0,4,0.004241152200847864,0.2626975476741791
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,3,2,1,-39654.00256843872,-35209.28645666107,35524.40627992482,19343.820226608485,24439.77863034413,1757.3975650710017,72,-0.21081794798374176,1.695532205303607e-06,1,0,1.2313016653060913,2608894.75,8164200.0,4,0.005223838146775961,0.2556214928627014
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,3,3,1,-19288.420920765595,-17086.24625507208,17197.03837860472,8742.606721477867,12637.196741448599,1047.7552698891752,72,0.09255721420049667,1.4319290357889258e-06,1,0,1.0195908546447754,373062.65625,3125095.5,4,0.004177961964160204,0.25641411542892456
main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,A2C-MADRL,4,1,1,-46877.14983819855,-41075.29042595434,17388.2018496514,9307.676823271015,67058.4210034747,5557.567440304016,96,0.2162683755159378,5.143471639712516e-07,1,0,1.1718705892562866,3320584.0,11635385.0,4,0.003168489784002304,0.25815799832344055
