run_id,seed,config_hash,algorithm,iteration,mg,phase,episode_reward,discounted_return,cg_cost,ba_cost,imbalance_cost,abs_deficit,environment_steps,actor_loss,kl,trpo_accepted,actor_updates,actor_grad_norm,critic_loss,critic_grad_norm,critic_updates,actor_delta,critic_delta
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,1,1,1,-50260.50459059377,-43979.08828787272,17861.18856983824,16187.196777099325,66472.62383424999,5403.206196007728,24,-0.1079803928732872,0.008287732489407063,1,1,1.1419912576675415,4073299.25,11205237.0,4,0.18821385502815247,0.27016058564186096
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,1,2,1,-33821.81813996627,-30027.896105267202,29129.593136879663,21814.57380435792,16699.469338694966,1370.6147096213558,24,-0.052701517939567566,0.00833358708769083,1,1,0.5560491681098938,1624422.5,6276168.0,4,0.20646026730537415,0.2696302533149719
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,1,3,1,-26796.436836257217,-23678.010579908834,21643.59152211251,16709.36978442331,15239.912365978613,1247.5863601212154,24,-0.09369724243879318,0.007339175790548325,1,1,1.3395750522613525,871873.6875,4766583.5,4,0.21831825375556946,0.266888827085495
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,2,1,1,-54895.16988684893,-48199.61018585952,14291.205973884205,23231.960815235063,72267.1729845786,5912.583999229273,48,-0.07224266231060028,0.005625229794532061,1,1,0.5689393877983093,4741493.5,12339625.0,4,0.290824830532074,0.26305755972862244
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,2,2,1,-34153.203718120625,-30225.44448220985,33371.365838890255,16240.963789480393,18694.077807870603,1443.461635899874,48,-0.07303457707166672,0.007488889154046774,1,1,0.6790645122528076,1602379.125,6544603.0,4,0.24358245730400085,0.2555161416530609
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,2,3,1,-27979.183798670027,-24871.69589888184,20223.064896851214,17062.39039708543,18672.9123034034,1606.1200688066706,48,-0.1283312439918518,0.008370590396225452,1,1,0.9441443085670471,889142.0625,5033595.0,4,0.16543997824192047,0.2621667981147766
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,3,1,1,-52316.91596405644,-45838.76494377586,15199.938300317628,18781.446571298424,70652.44705649682,5782.9463962161035,72,-0.3419141471385956,0.007741156499832869,1,1,2.2435481548309326,4274412.0,12195922.0,4,0.17216096818447113,0.26212674379348755
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,3,2,1,-39379.487122594364,-34956.682629065195,35727.72894285986,18273.263828345487,24757.98147398339,1785.9760701915088,72,-0.09589588642120361,0.009396404027938843,1,1,1.2928436994552612,2591733.0,8130371.5,4,0.15088041126728058,0.2545803189277649
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,3,3,1,-19785.233937489535,-17536.55432436012,18135.73317629312,9514.06113409564,11920.673564590308,975.2749009362655,72,-0.06906499713659286,0.006644443143159151,1,1,1.0610994100570679,401122.625,3246719.25,4,0.24812030792236328,0.2577455937862396
smoke_seed0,0,b166c03d6b1eebd1b668487aa2ce173962a864f859fc260656c803ca7c8bc2fa,TRPO-MADRL,4,1,1,-46466.296265015895,-40718.93059572177,18225.5333191945,9088.816592795323,65618.24261804197,5448.346805066407,96,-0.07673754543066025,0.007449908647686243,1,1,1.1672087907791138,3239847.75,11537958.0,4,0.19764043390750885,0.2576586604118347
